L (m),m (kg),n,E (J)
7.755532764767724e-09,7.267078995694033e-28,3,1.1570612060738655e-23
8.261512653405376e-09,9.918173223931492e-28,3,7.544411618702074e-24
9.91454627800606e-09,9.998883929758742e-29,6,2.0251626058096014e-22
4.7135590922028385e-09,4.020329709770132e-28,8,3.875560458456034e-22
4.348162772135048e-09,8.0025090482733035e-28,7,1.766721355057388e-22
7.987716646677971e-09,2.0475200255773286e-28,4,6.970370724346469e-23
4.067231862277161e-09,5.554853728479143e-28,4,9.572096930793674e-23
9.376815930432083e-09,7.333115318632482e-28,10,8.068425465093454e-23
8.725714766587106e-09,6.1633106335494496e-28,2,4.38954317526817e-24
4.8609462463751646e-09,1.8875551235426227e-28,1,1.1388478896292539e-23
7.757839610123476e-09,3.559647225739223e-28,9,2.226018748626425e-22
7.790885866762141e-09,7.839863718793605e-28,2,4.7994224271807925e-24
1.9281148195233933e-09,5.546277102692979e-28,8,1.694400862071097e-21
9.1229761601161e-09,6.124906890724116e-30,9,8.522500380235084e-21
5.547271352030714e-09,7.612058683440686e-28,4,3.641128947217755e-23
8.438117194969675e-09,3.617957472079286e-29,8,1.4380060770454537e-21
3.880446409275505e-09,7.459626223267741e-28,9,4.334396869593879e-22
9.059709056465805e-09,2.0319832766108874e-28,10,3.1909825584171606e-22
4.502815108607468e-09,9.581112139872728e-28,10,2.985935033134405e-22
1.0975388633226853e-09,3.6850960462591266e-28,5,3.0951472945594516e-21
9.148437787773373e-09,3.275373778833749e-28,7,9.705678423956665e-23
1.821580091075202e-09,1.496540510871455e-28,10,1.1883124181443337e-20
3.873822738313734e-09,3.062291716962737e-28,4,1.9098321717041364e-22
9.550557703457245e-09,8.767617761425552e-28,1,6.964200324824586e-25
9.555464322438005e-09,9.963376367233828e-28,3,5.4968320349752864e-24
6.160940993109575e-09,3.6887805192939225e-28,5,9.002608246802275e-23
6.686534909528193e-09,4.491068813866836e-28,3,2.4953454724517455e-23
5.036009697804878e-09,7.223210743583547e-28,7,1.4266612673748555e-22
3.6388969452825805e-09,8.86298204262656e-28,9,3.51865322587345e-22
3.957980908329243e-09,5.934105942860161e-28,6,2.0703542690820675e-22
7.052666104693346e-09,3.9207332504946935e-28,10,2.7402294398053105e-22
7.77137076493912e-09,4.131504811918601e-28,1,2.312732491293999e-24
8.124211393532637e-09,6.958920901649599e-28,7,5.543408654416736e-23
8.106563285150986e-09,4.115367167034831e-30,3,1.7542167611593844e-21
1.8208549274382132e-09,6.1993170705612695e-28,5,6.753813840898021e-22
5.449782742323233e-09,3.560730667319602e-28,10,4.845479083892377e-22
1.5180288401497985e-09,7.94382553678935e-28,4,4.63875130336442e-22
5.945759940913619e-09,9.380694824729135e-29,10,1.5171748532916134e-21
4.9737745123603925e-09,5.88572884908137e-28,5,9.856473698626414e-23
8.989337644824698e-09,4.814400142852263e-28,5,3.473527087721691e-23
4.1582351129687084e-09,6.4264743293191275e-28,6,1.7765929058844282e-22
2.0536031478484526e-09,6.569522624793368e-29,10,2.0715912513889396e-20
2.2869251384755226e-09,5.803618020194461e-28,10,1.742790875100156e-21
7.85359568545725e-09,5.618792518303602e-28,6,5.611983558299203e-23
6.563962569846349e-09,5.610555003311965e-28,8,1.3762527494998153e-22
1.910104085105112e-09,6.038445276965181e-28,8,1.509896336967761e-21
1.756961255034977e-09,6.767591160828586e-28,9,2.029942396667746e-21
7.3087221831320794e-09,8.051645095810571e-28,8,7.965377229862938e-23
1.6548670572777418e-09,2.70477881480099e-28,2,2.906611111252068e-22
8.396740533613206e-09,8.252068657109001e-28,10,9.568867589753195e-23
7.356180044408465e-09,4.9870725214941655e-28,1,1.9430085958627875e-24
1.732139025777098e-09,7.788892668311028e-29,10,2.3859795469168556e-20
1.7635394267667272e-09,5.939823340765962e-29,2,1.2171502361177476e-21
9.87975620651058e-09,3.348375042092344e-28,2,6.5595822900477154e-24
4.368437161805083e-09,7.850905698320673e-28,3,3.1641494424685424e-23
4.335779323602018e-09,7.07944021899649e-28,10,4.14125871097535e-22
8.315196105317522e-09,7.888052112042014e-28,7,4.880615409154708e-23
9.525237196454729e-09,5.17703514290812e-28,2,4.7250680103886955e-24
9.874009574405838e-09,4.407028188573307e-28,1,1.3775476039771225e-24
7.780403667330474e-09,1.4821981943224831e-28,6,2.2095402431922405e-22
4.386336269778242e-09,3.287973801310632e-28,9,6.80248376426502e-22
1.751506450288019e-09,4.345287487443188e-28,3,3.54024287843148e-22
7.994322243346931e-09,8.942068929290559e-29,6,3.309878933774938e-22
6.025638247622245e-09,2.213134019537712e-28,3,5.697255371418785e-23
4.817998083222786e-09,5.985868912990815e-28,1,4.1338792110950575e-24
9.157189465852624e-09,7.359010174363746e-28,5,1.9751294673204174e-23
2.000777340755362e-09,9.98348998632696e-28,10,1.4067403878526168e-21
5.433625938617732e-09,9.331735293453485e-28,4,3.048801114620301e-23
1.1021828029067717e-09,6.428868908556099e-28,7,3.3550930205978326e-21
5.217945777947136e-09,4.217689300461074e-28,6,1.6432361899794564e-22
1.5067294811365362e-09,6.365048050799954e-28,10,4.072521434611439e-21
2.069361246412647e-09,7.858445316239599e-28,7,7.997661845925108e-22
2.057736220993944e-09,1.1912968835155627e-28,5,2.827450895343109e-21
6.8428927190445715e-09,4.1043597529556165e-28,4,4.8660606945981466e-23
7.71440391338881e-09,8.399464635785453e-28,7,5.42370032859145e-23
6.2503188858744365e-09,3.8438750227630434e-28,7,1.683733987898223e-22
9.659552936270877e-09,5.722575861830822e-28,6,3.6593263192383247e-23
4.373835215713337e-09,5.881403684374223e-28,8,3.005881228387893e-22
3.5714087765367463e-09,1.852102245058191e-28,4,3.6234689068290537e-22
8.817392153705143e-09,3.6280942975480137e-28,10,1.9364379579582344e-22
3.0123625466750736e-09,3.351102285820645e-28,5,4.481639826326834e-22
9.669002854965503e-09,2.707313149438594e-29,4,3.5407728907470713e-22
1.109390272208347e-09,2.5069991303853027e-29,1,1.828249025190919e-21
9.728909440368751e-09,8.318485163364653e-28,8,4.431050906659339e-23
1.388439207555185e-09,2.737250462438369e-28,1,1.0610303605800291e-22
9.02028802328264e-09,5.185124953492005e-28,5,3.1627578853044833e-23
5.7493099817766985e-09,2.993567205725432e-28,6,2.127918379145374e-22
9.936683165073703e-09,9.407326337947368e-28,6,2.0668958910751883e-23
1.6641690826185898e-09,2.599633917827946e-28,5,2.0197760224168125e-21
5.984688559611887e-09,4.301701216074701e-28,3,2.96923405573426e-23
9.72372282057189e-09,8.728447932591658e-28,5,1.63087211204162e-23
5.707880597531339e-09,8.42075826581696e-28,8,1.2590815296781444e-22
6.664587743217363e-09,1.8683392657021569e-28,2,2.682230555987528e-23
7.261738200861554e-09,8.028209308168943e-28,6,4.867958219667965e-23
5.0908695829099585e-09,4.586745185398286e-28,9,3.5059346665251453e-22
6.6480227207565705e-09,4.834342001004785e-28,8,1.552844670675734e-22
6.258828807307902e-09,1.3425984044076945e-28,8,6.210236908706448e-22
9.1104220944189e-09,8.142897239474325e-29,8,5.5399653838993735e-22
1.409017423073121e-09,7.281841615974889e-28,7,1.8878131042281238e-21
3.5286687063300732e-09,4.9691433731818e-28,8,5.368952150147125e-22
9.553703356689029e-09,4.37357536982826e-28,6,4.839657035167508e-23
9.012374055018248e-09,7.2975167124660965e-28,2,3.922478967412079e-24
5.100910775071416e-09,7.6572393738201785e-28,2,1.086507475488703e-23
6.58119338021383e-09,1.5966515031845116e-28,8,4.993421598513109e-22
3.4964306468301937e-09,6.105759468431115e-28,1,7.065235299485527e-24
2.6930904375138517e-09,1.3613226360363561e-28,6,1.8985130895069457e-21
5.173285644459839e-09,7.515988484516196e-28,6,1.0403264928924561e-22
4.180170052234475e-09,6.572638966264992e-28,4,8.285552617831731e-23
6.252905006657848e-09,9.566536679244828e-28,10,1.3949722325732392e-22
1.6996117326848636e-09,6.979595414170041e-29,3,2.621917113356219e-21
9.769553268995498e-09,5.790337190221819e-29,3,8.719602709341709e-23
9.875896700316427e-09,2.8283310632597634e-28,1,2.0425602139770504e-24
7.283455426177706e-09,2.623701486205437e-28,3,3.798973246110159e-23
5.824867297097083e-09,2.476565181528351e-28,4,1.0374291356045312e-22
3.78574854657695e-09,9.063389513985679e-28,5,1.0389334023767609e-22
8.324155177362539e-09,2.502216082696416e-28,3,2.9628887406592994e-23
7.162580552984913e-09,2.726049713751153e-28,6,1.3343040650293945e-22
2.4635524541040217e-09,7.596148039817877e-28,5,3.1467704496226026e-22
9.198344660444582e-09,4.5023507659233455e-28,3,1.3058579732607888e-23
8.402835186308521e-09,7.769115174539217e-28,6,3.497605757201588e-23
9.548199219627316e-09,6.62073280225773e-29,6,3.1743440431818575e-22
7.53147557549524e-09,4.880323795990783e-28,8,1.1810333956381543e-22
6.520736763422109e-09,3.448334794311768e-29,2,1.4570604189085768e-22
4.764187326615569e-09,6.349681557224471e-29,1,3.757688513205096e-23
9.39455635018612e-09,9.06521659636401e-28,4,1.0392777634004418e-23
8.794575005503675e-09,1.4002005028358934e-28,7,2.4774781047034975e-22
1.4069680309557047e-09,5.3284150366116945e-28,10,5.3260507393372175e-21
1.2373027704752682e-09,4.11625616558366e-28,3,7.754428781416636e-22
4.388170301902447e-09,3.479307172652098e-28,3,7.616623327899415e-23
8.294979977036496e-09,8.99923495676154e-28,5,2.1263536933302994e-23
9.8854851638345e-09,2.2703755718391562e-29,5,6.49422975591029e-22
2.3537520199317534e-09,6.640922754580311e-28,10,1.5007535574996206e-21
6.347176438169216e-09,9.634273792227583e-28,3,1.3709011535367625e-23
4.4280177096791934e-09,5.605640320967263e-28,9,4.5326976072717175e-22
9.72922958033143e-09,9.36879321817262e-28,4,9.668705419365558e-24
8.579070308221379e-09,5.311084719466635e-29,3,1.2364669202184827e-22
8.54495834240024e-09,4.1931640508699475e-28,2,7.081741017695568e-24
5.218238438154732e-09,2.6082364895018536e-28,10,7.957449210370712e-22
4.733375521038986e-09,7.310632261122472e-28,9,2.8939367096966005e-22
3.460663647376356e-09,9.813139231157992e-28,4,7.227752073723035e-23
1.5073794698583442e-09,2.5719918538804804e-28,3,8.61292169679624e-22
8.78250138629548e-09,6.544858443327479e-28,7,5.29078045677912e-23
8.316109082170697e-09,1.9881934489025638e-28,8,2.633430677599754e-22
9.997459059575175e-09,5.657214573424955e-28,2,4.175414627016409e-24
9.969731533665149e-09,4.644149474503168e-28,7,5.75565515301889e-23
5.998885350423647e-09,9.720305248348687e-28,5,3.594815934851224e-23
7.920886736624595e-09,6.088795981510398e-28,5,3.7251477382738416e-23
9.502891568941852e-09,3.500918163519407e-28,3,1.497276130341891e-23
8.646826516096704e-09,1.1489309868153425e-28,5,1.5857537805166438e-22
3.2261329156887786e-09,1.5201070658907313e-28,2,1.442134736183364e-22
5.054897217790842e-09,2.26014144714279e-28,4,1.54309292747156e-22
2.1624347363634547e-09,2.516407913450918e-28,6,1.6704868214864173e-21
9.586459245328501e-09,8.507505033890809e-28,1,6.817336247817106e-25
6.45557171005792e-09,5.616176877730707e-28,10,2.0048444732628608e-22
3.057785249531164e-09,5.2381985955412955e-28,4,1.855458522638912e-22
7.04530615965271e-09,1.1556557988453518e-28,6,3.4007015676884313e-22
6.563154164121062e-09,8.602655676254204e-28,9,1.2904081849115297e-22
4.223464462295564e-09,7.230637703355962e-28,2,1.7359050312500504e-23
2.022018329796661e-09,6.850746037429159e-29,7,9.341095918039222e-21
7.044158760335196e-09,7.08098045642262e-28,6,5.923016294666964e-23
5.68276930813414e-09,5.439490329470378e-28,2,1.3216223317944113e-23
7.950865525620754e-09,8.255179293560616e-29,8,6.656780979716513e-22
5.68147151000794e-09,4.587881709512807e-28,7,1.9242430678167987e-22
8.66963350286686e-09,4.8516006047163e-28,5,3.658024696716957e-23
5.967161548970369e-09,1.6652534307712883e-28,5,2.3323788592955276e-22
6.048441743818476e-09,9.45747018667982e-28,7,7.994479573300236e-23
8.889882423925105e-09,8.501103936463293e-28,9,6.876306081727102e-23
4.6313457959115734e-09,6.6932021722551225e-28,9,3.192636301719082e-22
2.206137056055767e-09,4.627794949957068e-28,9,1.9408130171073842e-21
1.2590440868200508e-09,4.122949525970825e-28,6,3.1882869386822307e-21
7.796235301062571e-09,6.512875910305184e-28,10,1.377745645116089e-22
6.582785962181181e-09,5.458409807244393e-28,6,8.115280021265682e-23
7.336717912893012e-09,6.311706008659193e-29,3,1.413536133383618e-22
2.916677453580197e-09,5.129413963864384e-28,1,1.3796976067114586e-23
2.227343280280928e-09,8.0657785397733e-28,7,6.471114833216522e-22
1.1309019910109374e-09,4.597265617071209e-28,4,1.5899063425924689e-21
4.155288029259372e-09,5.280981663446957e-29,1,5.677030355979152e-23
6.3092591816916975e-09,7.864705490045876e-28,8,1.149292070434412e-22
4.5301964058975906e-09,2.0208255473205202e-28,6,4.834653218492596e-22
4.9372742982135616e-09,2.592880761366396e-28,6,3.379230792915182e-22
9.137428250443735e-09,1.6545811771420685e-28,2,1.537086081017732e-23
4.134299203209703e-09,3.3081787131311326e-28,1,9.254114571294019e-24
5.625905402438297e-09,7.569704293335154e-28,2,9.109214092877451e-24
8.052877114670288e-09,5.198184122303839e-28,4,2.821713900042108e-23
4.568885040891431e-09,2.0559688100397696e-28,2,4.88887018355287e-23
6.598780302050861e-09,8.77940031081704e-28,1,1.2497931855076723e-24
8.761273378720707e-09,8.796902312820729e-28,7,3.994384111974103e-23
9.54568561291878e-09,8.706949044634655e-28,8,4.6373078854383903e-23
2.3236613283613417e-09,2.3948129479129596e-28,6,1.450491654994622e-21
9.33928862645345e-09,4.517332287712253e-28,4,2.3230866656275625e-23
5.429046637715844e-09,9.850031654503483e-28,6,6.452704707302896e-23
3.324199494690625e-09,7.722176650813115e-28,3,5.745879247889092e-23
5.132221806144351e-09,2.8042970546456815e-29,8,4.934139649571714e-21
9.820293177569294e-09,6.604590712835761e-29,10,8.104842343491735e-22
5.433562845935826e-09,4.644138385732017e-28,2,1.6155903675908724e-23
3.958764492587574e-09,9.093019076762848e-28,5,1.0212854482913242e-22
6.7006076888505316e-09,5.391169663345568e-28,1,2.3210366331319225e-24
3.1613105690037374e-09,4.982644767770595e-28,6,3.824663679921677e-22
1.6827699529779753e-09,1.0627877362666962e-28,2,7.848242920448619e-22
2.159917497195843e-09,6.570890026300423e-28,4,2.958762186660739e-22
2.152412550619952e-09,8.222632677556853e-28,6,4.703912261529432e-22
2.367124241610649e-09,3.809776295008056e-28,10,2.681965209522678e-21
2.249444553844691e-09,7.758138002594948e-28,8,8.691726390554418e-22
6.767872703228931e-09,9.645086249123009e-28,8,8.028585783054577e-23
2.6369207595923035e-09,2.044830693144742e-28,6,1.4595798346849976e-21
4.111005549914769e-09,5.237586345266661e-28,4,9.647464112600322e-23
9.071095689154107e-09,2.877795339222995e-28,8,1.3612347133742326e-22
5.265654762365851e-09,7.93040850056709e-28,8,1.717600608279336e-22
7.008019646689244e-09,5.779735318518645e-28,10,2.0459886970068266e-22
2.5508788408146683e-09,6.349112933745086e-28,1,1.3226059480639707e-23
2.730601169278037e-09,7.9809603687223985e-28,4,1.5385714927804305e-22
1.3678175463983098e-09,3.9651409923705875e-28,4,1.1617988720483745e-21
2.520415567649481e-09,9.151664873454769e-28,7,4.648087865657848e-22
3.5073130512876275e-09,5.334491412656185e-28,7,4.0684739483760686e-22
2.593094358490721e-09,1.587126634947962e-28,8,3.2370656136940855e-21
1.7983228038135004e-09,6.9617280896245065e-28,5,6.203583358301196e-22
2.0857228399054073e-09,7.9344741522286005e-28,7,7.32024613000998e-22
5.147008912294532e-09,3.1737659155816595e-28,8,4.1249591750913735e-22
2.8570034656521326e-09,8.57307795667454e-28,9,6.452447602180033e-22
4.278428749432679e-09,9.062277258364772e-28,3,3.2511985840328763e-23
5.530755437693711e-09,2.7755527333916897e-28,3,5.478017050969647e-23
7.2135534576642875e-09,9.835363033897784e-28,4,1.760403471518151e-23
1.3538092585698905e-09,1.4148488767351454e-28,5,5.4576971239890414e-21
8.194693590181384e-09,2.0273385430092778e-28,10,3.652895017483131e-22
6.65110350541817e-09,1.8495903688271193e-28,1,6.84515730821426e-24
1.7358312875398471e-09,8.940851192688634e-28,7,1.0421510949999254e-21
8.862207616960995e-09,6.546036890278695e-28,9,8.901080601711296e-23
9.28785160478632e-09,1.5286738936737284e-28,8,2.652347172737816e-22
1.5497016386937739e-09,4.4082712729181755e-28,5,1.317571450838942e-21
3.4918988333248337e-09,6.156442568472393e-28,4,1.179672552755374e-22
8.255811518137552e-09,8.428896731289286e-29,7,4.285476323025028e-22
7.734337213452925e-09,8.825221936757721e-28,5,2.624025053047486e-23
2.660689174207396e-09,8.037802922596379e-28,7,4.6392484002282865e-22
2.884143910030393e-09,5.056520874804193e-28,1,1.2587955648790011e-23
4.334248925122438e-09,9.671562013054371e-28,1,3.395940455035478e-24
5.360706866719191e-09,4.182849943937522e-28,10,4.851634337775432e-22
6.564292943772663e-09,9.84124619749365e-28,3,1.0977816608073618e-23
4.3202227561279515e-09,6.682188708047039e-28,2,1.790662220400459e-23
5.162812445198331e-09,6.35000069108013e-28,2,1.3915388985795973e-23
7.727238443203809e-09,1.6670553589001881e-28,7,2.499484526063358e-22
1.3301488260153812e-09,8.820340233221699e-28,10,3.530243985295446e-21
3.2719324990961863e-09,4.280049472014866e-28,2,4.8207042215441645e-23
7.420146272960971e-09,1.6298739571727513e-28,4,9.161502261935627e-23
9.056861539184795e-09,1.349617320778086e-29,2,2.0206010030238387e-22
5.605096979040995e-09,5.601519035231081e-28,6,1.1853298447750913e-22
5.78902136738784e-09,5.27824962462766e-28,8,2.1353683842083063e-22
1.9645481020579844e-09,7.196062041090264e-28,10,1.951429770196759e-21
5.0267113014110914e-09,8.903568207700861e-28,4,4.391312579656671e-23
5.793555398095208e-09,8.02351187168508e-29,5,4.570344258978025e-22
3.1822345327125666e-09,7.317381434990561e-28,4,1.2061159529681608e-22
3.423189078544429e-09,1.8814327334789442e-28,3,2.0821398748889687e-22
4.395557467941603e-09,8.583046938093226e-28,5,8.310871306685024e-23
1.1806407799995373e-09,8.192263566991806e-28,9,3.791264284500671e-21
3.898712490248604e-09,5.412070406060575e-28,8,4.377898917815221e-22
2.9030320629689015e-09,7.1050358010455066e-28,8,5.828652368303571e-22
3.947476169601232e-09,3.149671980818831e-28,8,6.860894966586968e-22
2.077859186373261e-09,4.716438478237752e-28,8,1.659297088847458e-21
9.014745526659055e-09,8.217974245025323e-28,7,4.4157428354102257e-23
6.342332081986437e-09,4.597518584957581e-28,8,1.9413612467237407e-22
7.111920872300406e-09,3.5837624688664896e-28,8,1.772799292256791e-22
8.102541147466045e-09,4.946676560477747e-28,8,1.1113337880324722e-22
5.485979790361515e-09,8.284038281100248e-28,10,2.1798344371307306e-22
1.7822825927868132e-09,3.35806360128239e-28,7,2.521598883388256e-21
5.833958876366929e-09,1.7450520770192163e-28,1,9.619120149953584e-24
6.2815700621879114e-09,7.122732077124832e-28,4,3.309185843824551e-23
7.70895526765897e-09,8.261348323166445e-28,4,1.7117445201234e-23
4.884935916067114e-09,1.0144690479286216e-28,5,5.65925451014301e-22
2.148222725160074e-09,2.4055822605446444e-28,10,4.808611427881626e-21
3.55398315218852e-09,1.4274421497020902e-28,6,1.1285125525110153e-21
4.267740667587716e-09,3.4852826431174275e-28,4,1.367206314312784e-22
6.813255171984411e-09,4.508456630243979e-28,2,1.0504601494978354e-23
6.1370047420202065e-09,7.490523932600396e-28,6,6.908606493910361e-23
4.2048705330806165e-09,6.514615520552807e-28,8,3.0331752811805115e-22
9.878637239136817e-09,6.212697317677006e-28,8,6.287103163542562e-23
6.451973374211984e-09,3.5295780915770577e-28,7,2.0490340843728604e-22
3.1350411256239505e-09,8.415902502869836e-28,6,2.433602288010336e-22
1.9160422535836337e-09,4.717630089475063e-28,2,1.2611645492641756e-22
2.3757322526589885e-09,9.791237435709408e-28,7,4.477920540099327e-22
3.2136195554605734e-09,6.344714103712708e-28,5,2.0143119646154413e-22
2.4461323593360013e-09,1.2705110329709468e-28,6,2.582411407827779e-21
2.679103216461752e-09,6.764690022695662e-28,10,1.0898920967744485e-21
3.565856518244624e-09,3.257114218178105e-28,8,8.222263020126383e-22
2.5603623576527933e-09,6.8660950220908e-28,8,8.418176318303662e-22
9.070888821637827e-09,7.047847112905958e-29,3,8.529688158825712e-23
1.72210371095478e-09,1.7562404388250104e-28,7,5.193677255126246e-21
5.720602506132291e-09,8.558670953727711e-28,1,1.8933891985877886e-24
4.693571442906953e-09,2.2787509542219376e-28,1,1.1576144909231547e-23
9.841407552177457e-09,8.371877882302215e-28,7,3.281255428355119e-23
2.008350119512471e-09,2.799247399748015e-28,10,4.734145887987252e-21
4.580700391411674e-09,6.432033163396549e-28,9,3.033450898183761e-22
9.72523389947832e-09,6.944258379936722e-28,7,4.081909086359517e-23
8.789564133045822e-09,5.130933638672225e-28,10,1.3462776948617736e-22
8.353648638543518e-09,3.0593589708770428e-28,5,6.967873339790555e-23
3.3211254434044587e-09,2.1335299643236218e-28,8,1.6301700039321305e-21
2.5379882865105922e-09,3.405948414332004e-29,2,9.388081513886561e-22
7.0177889793198785e-09,3.0457284947960722e-28,9,2.797291688287354e-22
9.364383902148273e-09,6.534749440198049e-28,6,3.4001272684565406e-23
6.0108660371253675e-09,9.383603441118791e-28,9,1.2576843563679437e-22
6.144514205229098e-09,8.713203982290153e-28,2,6.745664551641776e-24
3.5198118429425577e-09,7.662753182364209e-28,3,5.1178759582307406e-23
7.925436398727432e-09,7.8863774064437085e-28,8,7.189976548780597e-23
2.68339373701771e-09,6.65286417062867e-28,1,1.2038340092015709e-23
3.9131131276381926e-09,2.6095259939419364e-28,10,1.300375583969309e-21
4.828927947547751e-09,9.072785551781946e-28,7,1.334339393882377e-22
5.5684934081600945e-09,6.710286528251189e-28,7,1.2453280093658193e-22
3.1816875917357217e-09,5.6083623441255765e-28,1,1.0704956967221697e-23
2.0335314226528317e-09,1.1178957869118894e-28,9,1.039559363316152e-20
6.495580381974693e-09,4.475531938169997e-28,8,1.8495198038323058e-22
3.597674979162302e-09,4.608439487578446e-28,4,1.4011980283071474e-22
6.23114399280351e-09,8.646855022740997e-28,10,1.5402724749105559e-22
2.3892644374678207e-09,5.470562367896196e-28,5,4.585319721026825e-22
5.330260916693357e-09,3.8095818847633635e-28,2,2.0251030311335e-23
5.793304892964273e-09,9.768212082149999e-28,9,1.418774767108238e-22
1.4664118314018422e-09,1.11520944792322e-28,6,9.146647075128048e-21
4.029438503745285e-09,4.23068134726464e-28,3,6.913625352887802e-23
2.2097320924507682e-09,4.2886852963751025e-29,7,1.2051630425047744e-20
1.5703747342549097e-09,7.401382070582402e-28,9,2.458946387149804e-21
9.909642091509508e-09,9.181502833021715e-28,3,5.791720919008708e-24
3.901184604772507e-09,2.8068529595389406e-28,2,4.897244759212712e-23
8.288870012691714e-09,8.584691692900016e-28,7,4.567241831495371e-23
3.2917658928738742e-09,2.928552340544821e-28,7,9.054879876318211e-22
7.1335245000153626e-09,9.108504684984358e-28,4,1.73979377674977e-23
7.842050739007179e-09,7.541833378835469e-28,9,9.697301507527972e-23
6.360748665470598e-09,8.0508236074228145e-28,8,1.0491940112115006e-22
5.244185696951425e-09,1.889034970041409e-29,1,1.0629519748661818e-22
4.706568227325417e-09,9.628438277526593e-28,1,2.6644224450305284e-24
4.139814398886958e-09,7.2691698817746005e-28,5,1.1134841548173698e-22
9.365762298230434e-09,3.0537681940028585e-28,6,7.003128986873146e-23
8.475574670089562e-09,8.29548209660474e-28,3,8.080932955928929e-24
9.685242195998613e-09,2.8216782933635657e-28,9,1.7992924049766223e-22
2.1186750113699024e-09,8.728683611105184e-28,10,1.423735184718328e-21
7.577807276832798e-09,1.1337906806056627e-28,6,3.162124371124933e-22
9.44506411138934e-09,7.039526600810811e-28,4,1.4157616533145865e-23
2.631097595490941e-09,5.4111184801593e-28,7,7.469315947550567e-22
1.5984664063009975e-09,9.734758917226493e-29,8,1.3841440177701477e-20
7.670085843610531e-09,2.4257612381340605e-28,9,2.9954637751220746e-22
6.1702580186192064e-09,1.3292872644665207e-29,6,4.0529736529387516e-21
8.576458990824449e-09,4.692460742955878e-28,6,6.046769569901456e-23
2.2579513896366053e-09,3.018941220253164e-28,8,2.1776934021579224e-21
8.157405806739011e-09,5.987189625618909e-28,5,3.3446050372548285e-23
2.8146458804297007e-09,2.9787029368167947e-28,3,2.0760169870355674e-22
2.4729034857913407e-09,3.0054918430662846e-28,3,2.9050717615377986e-22
2.4783921813789365e-09,7.43424324852745e-28,6,4.448433324625056e-22
8.331172482082438e-09,4.8999507425972933e-29,2,6.027399082675223e-23
6.986774986265801e-09,9.029823896963144e-28,6,4.46136724864315e-23
5.707588822922073e-09,8.523968369042294e-28,6,7.027568781246847e-23
4.229474357111522e-09,6.681036590115028e-28,8,2.766497690707804e-22
8.894804867317975e-09,5.935876706942877e-28,7,5.696117248445662e-23
4.532005966803718e-09,8.923994258913265e-28,8,1.8885027489856242e-22
8.349394955244193e-09,1.8606338236713862e-28,9,3.3652052327886116e-22
4.952214177131966e-09,7.979808994485687e-29,6,9.889987157936637e-22
4.392499864824168e-09,2.4019461075661958e-28,3,1.1442160762120015e-22
5.1641180710264576e-09,7.947631582493602e-28,10,2.5422696471667956e-22
3.7124008674772783e-09,3.5539063486429493e-29,3,1.0109417378368927e-21
7.72848442158626e-09,5.8318230893191455e-28,1,1.5709093379661853e-24
5.524483510832312e-09,9.954416224267379e-28,5,4.402058297923503e-23
3.0899142563213554e-09,8.558259673530857e-28,4,1.078913778929065e-22
9.096171159471117e-09,5.218763879234503e-28,9,1.0328540391821247e-22
4.455020992358903e-09,6.448363246828437e-29,9,3.487277711276538e-21
5.891975750025897e-09,8.315252782227627e-28,5,4.548770864296422e-23
9.158248998680923e-09,5.993394275198511e-28,10,1.0805009856018844e-22
6.618141963225929e-09,1.1572955736221323e-28,4,1.7981656280991406e-22
2.0520823663752766e-09,9.467281326701519e-29,7,6.684685272873354e-21
9.458489112521276e-09,9.097081552990995e-28,6,2.4472473397699242e-23
6.64937247764276e-09,6.6949798270143425e-28,4,2.991186955701206e-23
4.014150531913775e-09,8.294404411973704e-28,10,4.1919866800660935e-22
2.2534486539704854e-09,8.790878192720134e-28,2,5.054975832395907e-23
8.146226703432664e-09,5.721577569314788e-28,1,1.432831447242261e-24
6.5806548033566215e-09,5.1788065003846185e-28,4,3.736970796484079e-23
5.801149827786893e-09,4.309400256517013e-28,4,5.685810178387339e-23
9.045033247458619e-09,3.1756133586210735e-28,1,2.219877599939321e-24
8.097374901020777e-09,4.35104824493939e-28,6,7.192070188466089e-23
2.3650739175947607e-09,7.740831640399993e-28,4,2.0938313308863466e-22
3.805498610159934e-09,6.022816999272181e-28,1,6.54736375477031e-24
3.236402258330192e-09,8.926200189938867e-28,1,5.822480848656433e-24
7.695516633154093e-09,4.438809723662465e-28,1,2.022527644368722e-24
1.3017919126220144e-09,6.074431980979072e-28,8,3.244773962654649e-21
6.129007163841848e-09,6.31639376294206e-28,10,2.187001490679349e-22
7.862128171666214e-09,5.920646348602499e-28,8,1.0179057269666359e-22
8.890890730855746e-09,7.029014026897395e-28,2,3.853491194456534e-24
4.0787357384431675e-09,2.38119778253269e-28,7,7.146508080219257e-22
8.391315742048115e-09,5.128026501459995e-28,8,9.63639083599313e-23
1.9956856325968652e-09,1.0503100048582016e-28,8,8.11263420067346e-21
8.618070625610664e-09,3.850652674499323e-28,10,1.8139650064644989e-22
2.1473979609878417e-09,4.8812816825950535e-28,7,1.1595675215281531e-21
4.575585615043305e-09,6.525372577118816e-28,5,1.0755166931427896e-22
8.175658292015982e-09,9.50575574638876e-28,1,8.1692924691851455e-25
2.349256846138964e-09,6.010104805884624e-28,9,1.4820241949860146e-21
